blinded_case_id,assertion_id,domain,gene,variant_identifier,sample_bucket,CAB_regime,CAB_routing_action,reason_code,followup_condition_label,condition_label_drift,cross_environment_drift,semantic_drift_without_reclassification,conservative_composite_non_portability,identity_vs_meaning_discordance,expected_expert_decision_category,endpoint_status_hidden_shown_flag,key_scope
CABCASE_8038C25E7D,CANCER_583455,hereditary_cancer,APC,CANCER_583455,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_5192A6A982,CANCER_856141,hereditary_cancer,PMS2,CANCER_856141,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_7590A136AD,CANCER_89935,hereditary_cancer,MLH1,CANCER_89935,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label, / follow-up semantic drift,True,False,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_92C314C440,CANCER_225847,hereditary_cancer,PALB2,CANCER_225847,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_AB30159B85,CANCER_833015,hereditary_cancer,ATM,CANCER_833015,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_54FB2B7F8E,CANCER_455290,hereditary_cancer,MSH6,CANCER_455290,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_8FDEFF6791,CANCER_1698671,hereditary_cancer,PALB2,CANCER_1698671,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_0BE2A5359A,CANCER_1395121,hereditary_cancer,PMS2,CANCER_1395121,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_AF88FE90C3,CANCER_644238,hereditary_cancer,PALB2,CANCER_644238,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label, / follow-up semantic drift,True,False,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_75B9485B30,CANCER_417608,hereditary_cancer,CHEK2,CANCER_417608,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_3FF52E655D,CANCER_89995,hereditary_cancer,MLH1,CANCER_89995,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_C48CF8501E,ARR_1458716,inherited_arrhythmia,KCNH2,ARR_1458716,CAB direct-use,syndrome_organ_boundary,direct_use,syndrome/developmental label crosses organ boundary,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_1EAF3950A7,CANCER_492661,hereditary_cancer,APC,CANCER_492661,CAB direct-use,nonspecific_underresolved,direct_use,broad or unknown phenotype/environment label, / follow-up semantic drift,True,False,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_FD00262E09,CANCER_1069643,hereditary_cancer,ATM,CANCER_1069643,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_AA015A0D33,CM_517190,cardiomyopathy,MYBPC3,CM_517190,CAB direct-use,phenotype_anchored_monogenic,direct_use,canonical gene-disease membership without boundary flags,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_A8EF201DB4,CANCER_587356,hereditary_cancer,MUTYH,CANCER_587356,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_789275FE91,CM_1696840,cardiomyopathy,MYH7,CM_1696840,CAB direct-use,phenotype_anchored_monogenic,direct_use,canonical gene-disease membership without boundary flags,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_0F72B1248C,CANCER_1505744,hereditary_cancer,TP53,CANCER_1505744,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_073732B808,CANCER_1067243,hereditary_cancer,ATM,CANCER_1067243,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_0FDFE7152E,ARR_423015,inherited_arrhythmia,KCNH2,ARR_423015,CAB direct-use,nonspecific_underresolved,direct_use,source identity accepted but phenotype label is broad/unknown/underresolved,,False,False,False,True,True,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_84E3AA39EE,CM_1301741,cardiomyopathy,MYBPC3,CM_1301741,CAB direct-use,phenotype_anchored_monogenic,direct_use,canonical gene-disease membership without boundary flags, / follow-up semantic drift,True,False,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_4F87B55BEA,CANCER_1074217,hereditary_cancer,MSH6,CANCER_1074217,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_8513FFBA37,CANCER_1456557,hereditary_cancer,TP53,CANCER_1456557,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_EB5691631F,CANCER_7841,hereditary_cancer,PTEN,CANCER_7841,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_669A8A45ED,CANCER_1453185,hereditary_cancer,CHEK2,CANCER_1453185,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label, / follow-up semantic drift,True,False,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_C703AA4299,CANCER_469694,hereditary_cancer,APC,CANCER_469694,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_AC4CE907A1,CANCER_1683653,hereditary_cancer,APC,CANCER_1683653,CAB direct-use,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label, / follow-up semantic drift,True,False,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_9CCDCAADF9,CANCER_524365,hereditary_cancer,ATM,CANCER_524365,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label, / follow-up semantic drift,True,True,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_17264E3055,CANCER_453500,hereditary_cancer,ATM,CANCER_453500,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_3DEB06B482,ARR_519204,inherited_arrhythmia,KCNH2,ARR_519204,CAB contextual repair,nonspecific_underresolved,contextual_repair,broad or unknown phenotype/environment label, / follow-up semantic drift,True,False,True,True,False,requires_contextual_repair_before_reuse,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_F746F5BF3F,CANCER_1075895,hereditary_cancer,CHEK2,CANCER_1075895,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label, / follow-up semantic drift,True,False,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_930430F5C2,CANCER_1071105,hereditary_cancer,ATM,CANCER_1071105,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label, / follow-up semantic drift,True,True,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_B009846E08,CANCER_844899,hereditary_cancer,ATM,CANCER_844899,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_631333B6DA,CANCER_1698440,hereditary_cancer,ATM,CANCER_1698440,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_90410BE8B8,CANCER_585214,hereditary_cancer,CHEK2,CANCER_585214,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_385F47009E,CANCER_1069558,hereditary_cancer,ATM,CANCER_1069558,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_F953099956,CANCER_1408971,hereditary_cancer,ATM,CANCER_1408971,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label, / follow-up semantic drift,True,True,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_066F20158C,CANCER_1068285,hereditary_cancer,ATM,CANCER_1068285,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_74E5FEA831,CANCER_1075705,hereditary_cancer,ATM,CANCER_1075705,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label, / follow-up semantic drift,True,True,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_7FE2671BA6,CANCER_949114,hereditary_cancer,PALB2,CANCER_949114,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_12A76D5A02,CANCER_142412,hereditary_cancer,PALB2,CANCER_142412,CAB contextual repair,nonspecific_underresolved,direct_use,broad or unknown phenotype/environment label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_83B588B6A3,CANCER_419303,hereditary_cancer,CHEK2,CANCER_419303,CAB contextual repair,nonspecific_underresolved,direct_use,broad or unknown phenotype/environment label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_16481D2E4E,CANCER_1457253,hereditary_cancer,ATM,CANCER_1457253,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_3DF93B4A26,CANCER_460779,hereditary_cancer,CHEK2,CANCER_460779,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_94017BFEF2,CANCER_490732,hereditary_cancer,ATM,CANCER_490732,CAB contextual repair,modifier_penetrance_boundary,population_penetrance_review,risk/penetrance-oriented domain or label,,False,False,False,False,False,conditional_liability_or_PRF_needed,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_D95794C033,CANCER_1073846,hereditary_cancer,PALB2,CANCER_1073846,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_A38BF4E7B1,CANCER_646046,hereditary_cancer,ATM,CANCER_646046,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_E2938C131D,CANCER_1471596,hereditary_cancer,CHEK2,CANCER_1471596,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_5CEF365AAD,CANCER_231147,hereditary_cancer,PALB2,CANCER_231147,CAB contextual repair,nonspecific_underresolved,population_penetrance_review,broad or unknown phenotype/environment label, / follow-up semantic drift,True,True,True,True,False,conditional_liability_or_PRF_needed,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_50EF300620,CANCER_830653,hereditary_cancer,CHEK2,CANCER_830653,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_4B0BED0CC9,CANCER_482019,hereditary_cancer,PALB2,CANCER_482019,CAB contextual repair,nonspecific_underresolved,direct_use,broad or unknown phenotype/environment label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_79B9D99D9B,CANCER_825116,hereditary_cancer,MUTYH,CANCER_825116,CAB contextual repair,modifier_penetrance_boundary,contextual_repair,risk/penetrance-oriented domain or label,,False,False,False,False,False,requires_contextual_repair_before_reuse,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_EF96F15649,CANCER_665014,hereditary_cancer,CHEK2,CANCER_665014,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_7F0DB89974,CANCER_484222,hereditary_cancer,PALB2,CANCER_484222,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label, / follow-up semantic drift,True,True,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_442B7A9C9F,CANCER_955562,hereditary_cancer,CHEK2,CANCER_955562,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_F2F0A5BA55,ARR_1675066,inherited_arrhythmia,HCN4,ARR_1675066,CAB contextual repair,nonspecific_underresolved,contextual_repair,broad or unknown phenotype/environment label, / follow-up semantic drift,True,False,True,True,False,requires_contextual_repair_before_reuse,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_0F6257FD1C,CANCER_962266,hereditary_cancer,ATM,CANCER_962266,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_58C4F691F0,CANCER_1367303,hereditary_cancer,ATM,CANCER_1367303,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_226730230F,CANCER_530172,hereditary_cancer,CHEK2,CANCER_530172,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_4A05305207,CANCER_231919,hereditary_cancer,PALB2,CANCER_231919,CAB contextual repair,nonspecific_underresolved,direct_use,broad or unknown phenotype/environment label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_11B7F45A29,CANCER_1409242,hereditary_cancer,PALB2,CANCER_1409242,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_8DDE487000,CANCER_187643,hereditary_cancer,CHEK2,CANCER_187643,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label, / follow-up semantic drift,True,False,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_56FBF83F75,CANCER_662943,hereditary_cancer,PALB2,CANCER_662943,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label, / follow-up semantic drift,True,False,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_053B7251AE,CANCER_1068607,hereditary_cancer,CHEK2,CANCER_1068607,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_D95CD71EC1,CANCER_230176,hereditary_cancer,PALB2,CANCER_230176,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label, / follow-up semantic drift,True,True,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_32884D8A58,CANCER_487411,hereditary_cancer,PALB2,CANCER_487411,CAB contextual repair,nonspecific_underresolved,direct_use,broad or unknown phenotype/environment label, / follow-up semantic drift,True,False,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_C1CA520F01,ARR_1742024,inherited_arrhythmia,KCNH2,ARR_1742024,CAB contextual repair,syndrome_organ_boundary,contextual_repair,syndrome/developmental label crosses organ boundary, / follow-up semantic drift,True,False,True,True,False,requires_contextual_repair_before_reuse,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_76971F48E7,CANCER_660416,hereditary_cancer,ATM,CANCER_660416,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_1AFAED86BA,CANCER_545769,hereditary_cancer,PALB2,CANCER_545769,CAB contextual repair,nonspecific_underresolved,direct_use,broad or unknown phenotype/environment label, / follow-up semantic drift,True,False,True,True,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
CABCASE_A2855DD758,CANCER_843704,hereditary_cancer,ATM,CANCER_843704,CAB contextual repair,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,,False,False,False,False,False,portable_direct_use_if_expert_confirms_same_disease_model,shown_answer_key,analyst_only_not_for_reviewers
