assertion_id,future_condition_label_drift,future_classification_change,future_cross_environment_drift,future_any_meaning_drift
CM_1075966,1,0,0,1
CM_1075974,1,0,0,1
CM_1075975,1,0,0,1
CM_1076072,1,0,0,1
CM_1076103,1,0,0,1
CM_1076116,1,0,0,1
CM_1076196,0,0,0,0
CM_1076311,0,0,0,0
CM_1076332,1,0,0,1
CM_1076432,0,0,0,0
CM_1076448,0,0,0,0
CM_1076610,0,0,0,0
CM_1076691,1,0,0,1
CM_1076704,0,0,0,0
CM_1076719,0,0,0,0
CM_1076893,0,0,0,0
CM_1076903,0,0,0,0
CM_1076969,0,0,0,0
CM_1077066,0,0,0,0
CM_1120154,0,0,0,0
CM_1120210,0,0,0,0
CM_1120211,0,0,0,0
CM_1162940,0,0,0,0
CM_1162943,1,0,1,1
CM_1163048,0,0,0,0
CM_1163332,1,0,1,1
CM_1163813,0,0,0,0
CM_1163846,0,0,0,0
CM_1171279,1,0,1,1
CM_1172114,0,0,0,0
CM_1172821,0,0,0,0
CM_1172846,0,0,0,0
CM_1174613,1,0,1,1
CM_1174679,1,0,1,1
CM_1174685,1,0,1,1
CM_1174693,0,0,0,0
CM_1174712,0,0,0,0
CM_1174768,1,0,1,1
CM_1174772,0,0,0,0
CM_1174783,0,0,0,0
CM_1174811,0,0,0,0
CM_1174837,0,0,0,0
CM_1174875,0,0,0,0
CM_1174884,0,0,0,0
CM_1174926,1,0,1,1
CM_1175010,0,0,0,0
CM_1175039,0,0,0,1
CM_1175057,0,0,0,0
CM_1175069,0,0,0,0
CM_1175081,0,0,0,0
CM_1175085,0,0,0,0
CM_1175097,0,0,0,0
CM_1175102,0,0,0,0
CM_1175109,0,0,0,0
CM_1175129,0,0,0,0
CM_1175151,0,0,0,0
CM_1175163,1,0,0,1
CM_1175166,1,0,1,1
CM_1175200,0,0,0,0
CM_1175980,0,0,0,0
CM_1176541,1,0,1,1
CM_1177408,0,0,0,0
CM_1179333,1,0,1,1
CM_1180490,1,0,0,1
CM_1180636,0,0,0,0
CM_1180818,0,0,0,0
CM_1182317,0,0,0,0
CM_1183971,1,0,1,1
CM_1184590,1,0,0,1
CM_1184591,1,0,0,1
CM_1184822,0,0,0,0
CM_1184903,0,0,0,0
CM_1184949,0,0,0,0
CM_1186955,1,0,1,1
CM_1187608,0,0,0,0
CM_1187686,1,0,0,1
CM_1188147,0,0,0,0
CM_1188843,1,0,0,1
CM_1188844,1,0,0,1
CM_1194284,0,0,0,0
CM_1195305,1,0,1,1
CM_1199466,0,0,0,0
CM_1200363,0,0,0,0
CM_1202776,1,0,1,1
CM_1203936,0,0,0,0
CM_1205033,1,0,0,1
CM_1206253,1,0,1,1
CM_1208791,0,0,0,0
CM_1210917,0,0,0,0
CM_1211111,0,0,0,0
CM_1213390,1,0,1,1
CM_1214716,1,0,1,1
CM_1216348,0,0,0,0
CM_1228376,0,0,0,0
CM_12408,0,0,0,0
CM_12409,0,0,0,0
CM_12412,1,0,0,1
CM_12414,1,0,0,1
CM_12415,0,0,0,0
CM_12416,0,0,0,0
CM_12419,0,0,0,0
CM_12420,0,0,0,0
CM_12422,0,0,0,0
CM_12423,0,0,0,0
CM_12424,1,0,0,1
CM_12425,0,0,0,1
CM_12426,1,0,0,1
CM_12428,0,0,0,0
CM_12430,0,0,0,0
CM_12431,0,0,0,0
CM_12432,0,0,0,0
CM_12433,0,0,0,0
CM_12434,0,0,0,0
CM_12455,1,0,0,1
CM_12456,1,0,0,1
CM_12457,0,0,0,0
CM_12649,0,0,0,0
CM_12650,0,0,0,0
CM_12651,0,0,0,0
CM_12652,1,0,0,1
CM_12653,1,0,0,1
CM_12654,0,0,0,0
CM_12657,0,0,0,0
CM_12660,0,0,0,0
CM_12661,0,0,0,0
CM_1275804,0,0,0,0
CM_1284305,0,0,0,0
CM_1284309,1,0,1,1
CM_1284313,0,0,0,0
CM_1284322,0,0,0,0
CM_1284344,0,0,0,0
CM_1284383,0,0,0,0
CM_1284395,0,0,0,0
CM_1284407,1,0,1,1
CM_1284426,0,0,0,0
CM_1284503,1,0,1,1
CM_1284511,1,0,1,1
CM_1284521,0,0,0,0
CM_1284530,0,0,0,0
CM_1284541,0,0,0,0
CM_1284545,0,0,0,0
CM_1284552,0,0,0,0
CM_1284567,1,0,1,1
CM_1284582,1,0,0,1
CM_1284602,0,0,0,0
CM_1284634,0,0,0,0
CM_1284661,0,0,0,0
CM_1284727,0,0,0,0
CM_1284770,0,0,0,0
CM_1284776,0,0,0,0
CM_1284793,0,0,0,1
CM_1284807,0,0,0,0
CM_1284894,0,0,0,0
CM_1284997,0,0,0,0
CM_1285108,1,0,1,1
CM_1285115,1,0,1,1
CM_1285121,0,0,0,0
CM_1285133,0,0,0,0
CM_1285158,1,0,0,1
CM_1285162,0,0,0,0
CM_1285503,0,0,0,0
CM_1296982,0,0,0,0
CM_1297006,0,0,0,0
CM_1297053,0,0,0,0
CM_1297705,1,0,1,1
CM_1298381,1,0,0,1
CM_1298511,0,0,0,0
CM_1298512,0,0,0,0
CM_1298847,0,0,0,0
CM_1299289,0,0,0,0
CM_1299521,0,0,0,0
CM_1299837,0,0,0,0
CM_1299840,1,0,0,1
CM_1299910,1,0,1,1
CM_1299952,1,0,1,1
CM_1299961,1,0,1,1
CM_1301518,1,0,0,1
CM_1301741,1,0,0,1
CM_1301885,1,0,0,1
CM_130686,0,0,0,0
CM_1308669,0,0,0,0
CM_1319259,1,0,1,1
CM_1319904,1,0,0,1
CM_1319918,0,0,0,0
CM_1320039,0,0,0,0
CM_132133,1,0,1,1
CM_132134,0,0,0,0
CM_132135,0,0,0,0
CM_132137,1,0,0,1
CM_132138,0,0,0,0
CM_1321424,0,0,0,0
CM_1321500,1,0,1,1
CM_1322203,1,0,0,1
CM_1322771,0,0,0,1
CM_1322784,1,0,0,1
CM_1322924,0,0,0,1
CM_1322926,0,0,0,1
CM_1323240,0,0,0,1
CM_1323724,0,0,0,1
CM_1323725,1,0,1,1
CM_1323968,1,0,0,1
CM_1324072,1,0,0,1
CM_1324087,1,0,0,1
CM_1324094,1,0,1,1
CM_1324125,1,0,1,1
CM_1324260,1,0,1,1
CM_1324294,0,0,0,1
CM_1324419,0,0,0,1
CM_1324669,0,0,0,1
CM_1324670,1,0,0,1
CM_1325260,0,0,0,1
CM_1325263,1,0,0,1
CM_1325264,1,0,1,1
CM_1325276,0,0,0,1
CM_1325277,0,0,0,1
CM_1325278,1,0,1,1
CM_1325280,0,0,0,1
CM_1325290,0,0,0,1
CM_1325291,1,0,1,1
CM_1325292,0,0,0,1
CM_1325293,1,0,1,1
CM_1325301,1,0,1,1
CM_1325303,0,0,0,1
CM_1325803,0,0,0,1
CM_1326923,1,0,1,1
CM_1326970,1,0,0,1
CM_1327353,0,0,0,0
CM_1327787,0,0,0,0
CM_1328046,0,0,0,0
CM_1329059,1,0,1,1
CM_132908,0,0,0,0
CM_1329109,1,0,1,1
CM_1329110,0,0,0,0
CM_1329114,0,0,0,0
CM_132913,0,0,0,0
CM_132914,0,0,0,0
CM_1329145,0,0,0,0
CM_1329150,0,0,0,0
CM_1329157,1,0,1,1
CM_1329158,1,0,1,1
CM_132916,0,0,0,0
CM_132917,0,0,0,0
CM_1329173,0,0,0,0
CM_1329177,0,0,0,0
CM_1329178,1,0,1,1
CM_1329186,1,0,0,1
CM_1329193,1,0,0,1
CM_132920,0,0,0,0
CM_1329201,0,0,0,0
CM_1329203,0,0,0,0
CM_1329212,0,0,0,0
CM_1329226,0,0,0,0
CM_1329230,1,0,1,1
CM_1329235,1,0,0,1
CM_132925,1,0,0,1
CM_132926,0,0,0,0
CM_1329263,0,0,0,0
CM_1329266,0,0,0,0
CM_1329268,0,0,0,0
CM_1329270,0,0,0,0
CM_1329271,0,0,0,0
CM_1329272,0,0,0,0
CM_132928,0,0,0,0
CM_132930,0,0,0,0
CM_132931,0,0,0,0
CM_132933,0,0,0,0
CM_132934,0,0,0,0
CM_1329379,1,0,1,1
CM_1329381,1,0,1,1
CM_1329384,0,0,0,0
CM_1329385,0,0,0,0
CM_1329389,0,0,0,0
CM_1329391,0,0,0,0
CM_1329392,0,0,0,0
CM_1329393,0,0,0,0
CM_1329394,0,0,0,0
CM_1329395,0,0,0,0
CM_1329406,1,0,1,1
CM_1329855,0,0,0,0
CM_1330741,1,0,1,1
CM_1332983,0,0,0,0
CM_1333109,0,0,0,0
CM_1333262,1,0,0,1
CM_1333296,0,0,0,0
CM_1333356,1,0,0,1
CM_1333490,1,0,0,1
CM_1333510,1,0,0,1
CM_1333564,1,0,0,1
CM_1333568,1,0,0,1
CM_1333631,0,0,0,0
CM_1333641,0,0,0,0
CM_1333835,1,0,0,1
CM_1333836,0,0,0,0
CM_1333968,1,0,0,1
CM_1334101,0,0,0,0
CM_1335099,0,0,0,0
CM_1335139,0,0,0,0
CM_1335938,1,0,1,1
CM_1335941,0,0,0,0
CM_1335942,0,0,0,0
CM_1335943,0,0,0,0
CM_1338284,0,0,0,0
CM_1338321,1,0,0,1
CM_1338737,0,0,0,0
CM_1338801,0,0,0,0
CM_1338863,0,0,0,0
CM_1338897,1,0,0,1
CM_1339288,0,0,0,0
CM_1339493,1,0,0,1
CM_1339577,0,0,0,0
CM_1339753,0,0,0,0
CM_1341358,0,0,0,0
CM_1341608,1,0,1,1
CM_1341987,0,0,0,0
CM_1342136,1,0,1,1
CM_1342294,0,0,0,1
CM_1342667,1,0,0,1
CM_1343046,0,0,0,0
CM_1343079,0,0,0,0
CM_1343346,0,0,0,0
CM_1343363,0,0,0,0
CM_1343457,0,0,0,0
CM_1343751,0,0,0,0
CM_1344499,1,0,0,1
CM_1344540,0,0,0,0
CM_1345114,0,0,0,0
CM_1345174,0,0,0,0
CM_1345183,0,0,0,0
CM_1345232,0,0,0,0
CM_1345326,1,0,0,1
CM_1345432,0,0,0,0
CM_1345536,1,0,0,1
CM_1345676,1,0,1,1
CM_1345754,1,0,0,1
CM_1345861,0,0,0,0
CM_1346440,0,0,0,0
CM_1346530,0,0,0,0
CM_1346678,0,0,0,0
CM_1346730,0,0,0,0
CM_1346846,0,0,0,0
CM_1347013,0,0,0,0
CM_1347909,0,0,0,0
CM_1348421,1,0,0,1
CM_1348431,1,0,0,1
CM_1348562,1,0,0,1
CM_1348739,0,0,0,0
CM_1348822,0,0,0,0
CM_1348848,1,0,0,1
CM_1348909,0,0,0,0
CM_1349431,0,0,0,0
CM_1349555,1,0,0,1
CM_1349799,0,0,0,0
CM_1349906,0,0,0,0
CM_1350054,0,0,0,0
CM_1350073,1,0,0,1
CM_1352033,1,0,0,1
CM_1353815,0,0,0,0
CM_1354106,1,0,0,1
CM_1354302,0,0,0,0
CM_1356582,1,0,0,1
CM_1358209,0,0,0,0
CM_1358953,0,0,0,0
CM_1359238,0,0,0,0
CM_1359544,0,0,0,0
CM_1359564,1,0,0,1
CM_13599,0,0,0,1
CM_1361795,1,0,0,1
CM_1361860,0,0,0,0
CM_1361957,1,0,0,1
CM_1362183,1,0,0,1
CM_1362593,1,0,0,1
CM_1362749,0,0,0,0
CM_1363212,0,0,0,0
CM_13636,0,0,0,0
CM_13637,1,0,0,1
CM_1365234,0,0,0,0
CM_1366074,1,0,0,1
CM_1366414,1,0,0,1
CM_1368137,1,0,0,1
CM_1369432,0,0,0,0
CM_1372204,1,0,0,1
CM_1372358,0,0,0,0
CM_1373143,0,0,0,0
CM_1373290,1,0,0,1
CM_1374928,1,0,0,1
CM_1375791,1,0,0,1
CM_1377727,1,0,0,1
CM_1377754,1,0,0,1
CM_1379682,1,0,0,1
CM_1380244,0,0,0,0
CM_1380559,0,0,0,0
CM_1380792,1,0,0,1
CM_1381031,0,0,0,0
CM_138326,1,0,0,1
CM_1383718,0,0,0,0
CM_1384488,0,0,0,0
CM_1384710,1,0,0,1
CM_1385837,1,0,0,1
CM_1387457,0,0,0,0
CM_1387781,1,0,0,1
CM_1387917,0,0,0,0
CM_1388635,1,0,0,1
CM_1388890,1,0,0,1
CM_1389170,0,0,0,0
CM_1389417,1,0,0,1
CM_1393398,1,0,0,1
CM_1394074,0,0,0,0
CM_1394085,0,0,0,0
CM_1395732,1,0,0,1
CM_1395798,1,0,0,1
CM_1396529,0,0,0,0
CM_1396666,0,0,0,0
CM_1398158,0,0,0,0
CM_1398558,1,0,0,1
CM_1398633,0,0,0,0
CM_1400125,1,0,0,1
CM_1404109,0,0,0,0
CM_1405349,0,0,0,0
CM_1406294,1,0,0,1
CM_1407835,0,0,0,0
CM_14087,1,0,0,1
CM_14088,1,0,0,1
CM_14089,1,0,0,1
CM_14090,1,0,0,1
CM_14091,1,0,0,1
CM_14092,1,0,0,1
CM_14093,1,0,0,1
CM_14095,1,0,0,1
CM_14096,0,0,0,0
CM_14097,0,0,0,0
CM_14098,1,0,0,1
CM_14099,0,0,0,0
CM_14100,1,0,0,1
CM_14101,0,0,0,0
CM_14102,1,0,0,1
CM_1410219,1,0,0,1
CM_14103,0,0,0,0
CM_14104,1,0,0,1
CM_14105,0,0,0,0
CM_14107,1,0,0,1
CM_14108,0,0,0,0
CM_14109,0,0,0,0
CM_14115,1,0,0,1
CM_14117,0,0,0,0
CM_14118,1,0,0,1
CM_14120,1,0,0,1
CM_1412205,0,0,0,0
CM_14123,0,0,0,0
CM_14124,1,0,0,1
CM_14125,1,0,0,1
CM_14127,1,0,0,1
CM_14129,0,0,0,0
CM_1417164,1,0,0,1
CM_1422161,1,0,0,1
CM_1422873,1,0,0,1
CM_1422974,1,0,0,1
CM_1423971,1,0,0,1
CM_1424500,1,0,0,1
CM_1424922,1,0,0,1
CM_1425206,1,0,0,1
CM_1425499,1,0,0,1
CM_1425509,1,0,0,1
CM_1425778,0,0,0,0
CM_1426433,1,0,0,1
CM_1427568,0,0,0,0
CM_1427666,1,0,0,1
CM_1429061,1,0,0,1
CM_1429310,1,0,0,1
CM_1429683,0,0,0,0
CM_143209,0,0,0,0
CM_143211,0,0,0,0
CM_143212,0,0,0,0
CM_143217,0,0,0,0
CM_143218,0,0,0,0
CM_143219,0,0,0,0
CM_1432977,0,0,0,1
CM_1433902,1,0,0,1
CM_1434183,1,0,0,1
CM_1434212,1,0,0,1
CM_1434231,0,0,0,0
CM_1434865,1,0,0,1
CM_1434909,0,0,0,0
CM_1435272,1,0,0,1
CM_1438271,1,0,0,1
CM_1439237,1,0,0,1
CM_143947,1,0,0,1
CM_1441574,1,0,0,1
CM_1443015,1,0,0,1
CM_1443627,1,0,0,1
CM_1443926,1,0,0,1
CM_1444924,0,0,0,0
CM_1445018,1,0,0,1
CM_1446713,0,0,0,0
CM_1446750,1,0,0,1
CM_1446989,0,0,0,0
CM_14477,1,0,0,1
CM_14478,1,0,0,1
CM_14479,0,0,0,0
CM_14481,1,0,0,1
CM_14482,1,0,1,1
CM_14483,1,0,0,1
CM_14484,1,0,0,1
CM_14488,0,0,0,0
CM_14489,1,0,0,1
CM_14491,1,0,0,1
CM_14495,1,0,1,1
CM_14500,0,0,0,0
CM_1450068,1,0,0,1
CM_14501,0,0,0,0
CM_14502,0,0,0,0
CM_14504,1,0,0,1
CM_14506,0,0,0,0
CM_14507,0,0,0,0
CM_14508,1,0,1,1
CM_14509,0,0,0,0
CM_14510,0,0,0,0
CM_1451045,1,0,0,1
CM_14511,1,0,1,1
CM_1451178,1,0,0,1
CM_1451216,1,0,0,1
CM_1451256,1,0,0,1
CM_14514,1,0,1,1
CM_14516,0,0,0,0
CM_1451660,1,0,0,1
CM_1451679,0,0,0,0
CM_14518,0,0,0,0
CM_1452110,0,0,0,0
CM_1452111,0,0,0,0
CM_1452172,1,0,0,1
CM_1452187,0,0,0,0
CM_14522,0,0,0,0
CM_1452208,0,0,0,0
CM_1452287,0,0,0,0
CM_14523,0,0,0,0
CM_14524,1,0,1,1
CM_1452427,1,0,0,1
CM_1452430,1,0,0,1
CM_14525,1,0,1,1
CM_1452523,0,0,0,0
CM_1452625,1,0,0,1
CM_1452694,1,0,0,1
CM_1452703,1,0,0,1
CM_1452776,1,0,0,1
CM_1452804,1,0,0,1
CM_1452999,1,0,0,1
CM_1453071,0,0,0,0
CM_1453153,1,0,0,1
CM_1453232,1,0,0,1
CM_1453340,0,0,0,0
CM_1453429,1,0,0,1
