sensitivity,endpoint,model,N,positive_N,AUROC,AUROC_CI95_low,AUROC_CI95_high,cross_validated_AUROC,AUPRC,Brier_score,log_loss,status
exclude_top2_genes_by_assertion_count,any_meaning_drift,M4_gene_plus_baseline_regime,12738,5575,0.7112,0.7023,0.7191,0.7073,0.6673,0.2112,0.6115,fit
exclude_top2_genes_by_assertion_count,any_meaning_drift,M5_gene_plus_baseline_regime_plus_metadata,12738,5575,0.7305,0.7215,0.7386,0.7273,0.7051,0.2049,0.5969,fit
genes_N_ge_100,condition_label_change,M1_gene_only,20805,7599,0.634,0.6266,0.6415,0.6311,0.4703,0.236,0.6646,fit
genes_N_ge_100,condition_label_change,M2_baseline_regime_only,20805,7599,0.6501,0.6426,0.6579,0.642,0.5202,0.2286,0.6509,fit
genes_N_ge_100,condition_label_change,M3_ClinVar_metadata_only,20805,7599,0.6944,0.6864,0.7021,0.6925,0.5651,0.2186,0.6309,fit
genes_N_ge_100,condition_label_change,M4_gene_plus_baseline_regime,20805,7599,0.6942,0.6863,0.7011,0.6914,0.5922,0.2146,0.6199,fit
genes_N_ge_100,condition_label_change,M5_gene_plus_baseline_regime_plus_metadata,20805,7599,0.7489,0.7414,0.755,0.7465,0.67,0.1978,0.5813,fit
genes_N_ge_100,cross_environment_drift,M1_gene_only,20805,3375,0.7906,0.7825,0.7985,0.7875,0.3762,0.1876,0.5536,fit
genes_N_ge_100,cross_environment_drift,M2_baseline_regime_only,20805,3375,0.7641,0.7551,0.7721,0.7622,0.367,0.2004,0.5755,fit
genes_N_ge_100,cross_environment_drift,M3_ClinVar_metadata_only,20805,3375,0.7396,0.7322,0.746,0.7377,0.2934,0.2116,0.585,fit
genes_N_ge_100,cross_environment_drift,M4_gene_plus_baseline_regime,20805,3375,0.8731,0.8677,0.878,0.8708,0.5618,0.1495,0.4519,fit
genes_N_ge_100,cross_environment_drift,M5_gene_plus_baseline_regime_plus_metadata,20805,3375,0.8891,0.8844,0.8936,0.888,0.5792,0.1417,0.4277,fit
genes_N_ge_100,any_meaning_drift,M1_gene_only,20805,7967,0.6292,0.6216,0.6371,0.6266,0.4837,0.2368,0.666,fit
genes_N_ge_100,any_meaning_drift,M2_baseline_regime_only,20805,7967,0.6387,0.6309,0.6466,0.6309,0.5263,0.2312,0.656,fit
genes_N_ge_100,any_meaning_drift,M3_ClinVar_metadata_only,20805,7967,0.6879,0.6804,0.6957,0.6808,0.5677,0.2223,0.6382,fit
genes_N_ge_100,any_meaning_drift,M4_gene_plus_baseline_regime,20805,7967,0.6887,0.6807,0.6962,0.6849,0.6001,0.2172,0.6251,fit
genes_N_ge_100,any_meaning_drift,M5_gene_plus_baseline_regime_plus_metadata,20805,7967,0.7344,0.7268,0.7406,0.732,0.6652,0.2034,0.5934,fit
syndrome_anchored_genes_only,condition_label_change,M1_gene_only,8964,3538,0.6329,0.6227,0.6441,0.6275,0.4921,0.2359,0.6634,fit
syndrome_anchored_genes_only,condition_label_change,M2_baseline_regime_only,8964,3538,0.7339,0.7233,0.7442,0.729,0.6349,0.2014,0.5932,fit
syndrome_anchored_genes_only,condition_label_change,M3_ClinVar_metadata_only,8964,3538,0.7006,0.6895,0.7105,0.6941,0.6112,0.2099,0.6149,fit
syndrome_anchored_genes_only,condition_label_change,M4_gene_plus_baseline_regime,8964,3538,0.7596,0.7494,0.7709,0.7564,0.6813,0.1937,0.5752,fit
syndrome_anchored_genes_only,condition_label_change,M5_gene_plus_baseline_regime_plus_metadata,8964,3538,0.7699,0.7604,0.7814,0.7671,0.7135,0.1886,0.5618,fit
syndrome_anchored_genes_only,cross_environment_drift,M1_gene_only,8964,1788,0.6996,0.688,0.7122,0.6919,0.3336,0.2173,0.6265,fit
syndrome_anchored_genes_only,cross_environment_drift,M2_baseline_regime_only,8964,1788,0.8542,0.8444,0.8622,0.8506,0.5368,0.1631,0.4664,fit
syndrome_anchored_genes_only,cross_environment_drift,M3_ClinVar_metadata_only,8964,1788,0.6688,0.6559,0.6816,0.6652,0.3005,0.2266,0.6261,fit
syndrome_anchored_genes_only,cross_environment_drift,M4_gene_plus_baseline_regime,8964,1788,0.8688,0.8604,0.8768,0.8652,0.6076,0.1562,0.4495,fit
syndrome_anchored_genes_only,cross_environment_drift,M5_gene_plus_baseline_regime_plus_metadata,8964,1788,0.8706,0.8618,0.8785,0.867,0.6094,0.1546,0.4451,fit
syndrome_anchored_genes_only,any_meaning_drift,M1_gene_only,8964,3739,0.6109,0.6017,0.621,0.6042,0.5,0.239,0.6698,fit
syndrome_anchored_genes_only,any_meaning_drift,M2_baseline_regime_only,8964,3739,0.7036,0.6923,0.7156,0.7001,0.6379,0.2099,0.6107,fit
syndrome_anchored_genes_only,any_meaning_drift,M3_ClinVar_metadata_only,8964,3739,0.6888,0.6769,0.6988,0.6855,0.6188,0.2144,0.624,fit
syndrome_anchored_genes_only,any_meaning_drift,M4_gene_plus_baseline_regime,8964,3739,0.7413,0.7292,0.7529,0.7375,0.6844,0.2013,0.5904,fit
syndrome_anchored_genes_only,any_meaning_drift,M5_gene_plus_baseline_regime_plus_metadata,8964,3739,0.7506,0.7405,0.7617,0.7451,0.7099,0.1971,0.5802,fit
moderate_risk_genes_only,condition_label_change,M1_gene_only,3774,1714,0.5897,0.5749,0.6055,0.5824,0.5077,0.2422,0.6772,fit
moderate_risk_genes_only,condition_label_change,M2_baseline_regime_only,3774,1714,0.6529,0.6343,0.6718,0.6495,0.6386,0.2143,0.6175,fit
moderate_risk_genes_only,condition_label_change,M3_ClinVar_metadata_only,3774,1714,0.6935,0.6814,0.7104,0.6856,0.6483,0.2164,0.623,fit
moderate_risk_genes_only,condition_label_change,M4_gene_plus_baseline_regime,3774,1714,0.6814,0.6628,0.7011,0.6747,0.6648,0.2133,0.6153,fit
moderate_risk_genes_only,condition_label_change,M5_gene_plus_baseline_regime_plus_metadata,3774,1714,0.7495,0.7352,0.764,0.7439,0.736,0.1985,0.5803,fit
moderate_risk_genes_only,cross_environment_drift,M1_gene_only,3774,1304,0.6456,0.6343,0.6613,0.6391,0.4333,0.2297,0.6494,fit
moderate_risk_genes_only,cross_environment_drift,M2_baseline_regime_only,3774,1304,0.7106,0.6916,0.7271,0.7036,0.603,0.2011,0.5899,fit
moderate_risk_genes_only,cross_environment_drift,M3_ClinVar_metadata_only,3774,1304,0.6622,0.6459,0.6796,0.6474,0.4795,0.2263,0.6449,fit
moderate_risk_genes_only,cross_environment_drift,M4_gene_plus_baseline_regime,3774,1304,0.7438,0.7281,0.7609,0.7387,0.623,0.1992,0.5821,fit
moderate_risk_genes_only,cross_environment_drift,M5_gene_plus_baseline_regime_plus_metadata,3774,1304,0.7898,0.7753,0.8042,0.7812,0.6874,0.1881,0.5525,fit
moderate_risk_genes_only,any_meaning_drift,M1_gene_only,3774,1836,0.565,0.5495,0.58,0.5564,0.5237,0.2457,0.6845,fit
moderate_risk_genes_only,any_meaning_drift,M2_baseline_regime_only,3774,1836,0.637,0.6184,0.654,0.6348,0.6444,0.2207,0.6305,fit
moderate_risk_genes_only,any_meaning_drift,M3_ClinVar_metadata_only,3774,1836,0.6705,0.6579,0.6867,0.6653,0.6518,0.2241,0.6387,fit
moderate_risk_genes_only,any_meaning_drift,M4_gene_plus_baseline_regime,3774,1836,0.6657,0.6488,0.6847,0.661,0.6713,0.2194,0.6278,fit
moderate_risk_genes_only,any_meaning_drift,M5_gene_plus_baseline_regime_plus_metadata,3774,1836,0.7115,0.6976,0.7271,0.7069,0.7265,0.2108,0.6072,fit
