external_resource,external_variant_or_gene,gene,variation_id,ClinVar_phenotype_label,external_phenotype_label,concordance_discordance_category,CAB_routing_implication,licensing_or_access_status
LOVD/GPCards feasibility,APC:CANCER_537503,APC,CANCER_537503,colorectal cancer / polyposis,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,direct_use,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,CHEK2:CANCER_944177,CHEK2,CANCER_944177,breast cancer predisposition,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,direct_use,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BRCA1:CANCER_481487,BRCA1,CANCER_481487,hereditary breast/ovarian cancer,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BRCA1:CANCER_54144,BRCA1,CANCER_54144,hereditary breast/ovarian cancer,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD feasibility,PKP2:CM_1329270,PKP2,CM_1329270,nonspecific cardiomyopathy,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BMPR1A:CANCER_482882,BMPR1A,CANCER_482882,pan-cancer / nonspecific cancer predisposition,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BRCA2:CANCER_41553,BRCA2,CANCER_41553,hereditary breast/ovarian cancer,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BRCA2:CANCER_632695,BRCA2,CANCER_632695,hereditary breast/ovarian cancer,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,ATM:CANCER_1469238,ATM,CANCER_1469238,syndromic cancer predisposition,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,direct_use,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,ATM:CANCER_1459146,ATM,CANCER_1459146,syndromic cancer predisposition,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,direct_use,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,PMS2:CANCER_142777,PMS2,CANCER_142777,colorectal cancer / polyposis,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,MLH1:CANCER_218016,MLH1,CANCER_218016,pan-cancer / nonspecific cancer predisposition,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD feasibility,MYBPC3:CM_42636,MYBPC3,CM_42636,HCM,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BRCA2:CANCER_52300,BRCA2,CANCER_52300,hereditary breast/ovarian cancer,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD feasibility,RYR2:ARR_420865,RYR2,ARR_420865,unknown,[not_bulk_extracted_terms_pending],local_CAB_identity_meaning_discordant,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,MSH2:CANCER_545842,MSH2,CANCER_545842,colorectal cancer / polyposis,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,PTEN:CANCER_660158,PTEN,CANCER_660158,PTEN hamartoma tumor syndrome / Cowden,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,direct_use,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,PTEN:CANCER_427591,PTEN,CANCER_427591,PTEN hamartoma tumor syndrome / Cowden,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,direct_use,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD feasibility,TTN:CM_1067018,TTN,CM_1067018,DCM,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,ATM:CANCER_1378485,ATM,CANCER_1378485,syndromic cancer predisposition,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,direct_use,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BRCA2:CANCER_51069,BRCA2,CANCER_51069,hereditary breast/ovarian cancer,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,MSH2:CANCER_188399,MSH2,CANCER_188399,Lynch syndrome / mismatch repair cancer predisposition,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BRCA1:CANCER_1339722,BRCA1,CANCER_1339722,hereditary breast/ovarian cancer,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,MLH1:CANCER_89853,MLH1,CANCER_89853,Lynch syndrome / mismatch repair cancer predisposition,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,direct_use,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,PALB2:CANCER_230176,PALB2,CANCER_230176,breast cancer predisposition,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,direct_use,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD feasibility,MYBPC3:CM_978357,MYBPC3,CM_978357,HCM,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,direct_use,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BRCA2:CANCER_822997,BRCA2,CANCER_822997,pan-cancer / nonspecific cancer predisposition,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,PALB2:CANCER_1705175,PALB2,CANCER_1705175,breast cancer predisposition,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,direct_use,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BRCA2:CANCER_51577,BRCA2,CANCER_51577,hereditary breast/ovarian cancer,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BRCA2:CANCER_266718,BRCA2,CANCER_266718,hereditary breast/ovarian cancer,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BRCA1:CANCER_548208,BRCA1,CANCER_548208,hereditary breast/ovarian cancer,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,MLH1:CANCER_90118,MLH1,CANCER_90118,Lynch syndrome / mismatch repair cancer predisposition,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,MUTYH:CANCER_1374111,MUTYH,CANCER_1374111,colorectal cancer / polyposis,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,direct_use,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BRCA2:CANCER_52121,BRCA2,CANCER_52121,hereditary breast/ovarian cancer,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,MSH6:CANCER_393460,MSH6,CANCER_393460,pan-cancer / nonspecific cancer predisposition,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BRCA2:CANCER_825705,BRCA2,CANCER_825705,pan-cancer / nonspecific cancer predisposition,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BRCA2:CANCER_254605,BRCA2,CANCER_254605,hereditary breast/ovarian cancer,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,MSH6:CANCER_410397,MSH6,CANCER_410397,colorectal cancer / polyposis,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,PTEN:CANCER_1372311,PTEN,CANCER_1372311,PTEN hamartoma tumor syndrome / Cowden,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD feasibility,DSP:CM_1352033,DSP,CM_1352033,ARVC/ACM,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BRCA2:CANCER_52418,BRCA2,CANCER_52418,hereditary breast/ovarian cancer,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD feasibility,KCNQ1:ARR_523769,KCNQ1,ARR_523769,unknown,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,direct_use,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,BRCA1:CANCER_216104,BRCA1,CANCER_216104,hereditary breast/ovarian cancer,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,MLH1:CANCER_571138,MLH1,CANCER_571138,colorectal cancer / polyposis,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,MLH1:CANCER_90194,MLH1,CANCER_90194,Lynch syndrome / mismatch repair cancer predisposition,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,ATM:CANCER_482640,ATM,CANCER_482640,pan-cancer / nonspecific cancer predisposition,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,population_penetrance_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,MLH1:CANCER_1797518,MLH1,CANCER_1797518,pan-cancer / nonspecific cancer predisposition,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD feasibility,MYBPC3:CM_181074,MYBPC3,CM_181074,HCM,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,direct_use,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,MLH1:CANCER_89873,MLH1,CANCER_89873,Lynch syndrome / mismatch repair cancer predisposition,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,disease_specific_review,schema-ready sample; no LOVD/GPCards bulk scrape bundled
LOVD/GPCards feasibility,PMS2:CANCER_572207,PMS2,CANCER_572207,colorectal cancer / polyposis,[not_bulk_extracted_terms_pending],local_CAB_concordant_or_not_flagged,direct_use,schema-ready sample; no LOVD/GPCards bulk scrape bundled
