assertion_id,ClinVar VariationID,gene,condition label,classification,review status,submitter count,baseline environment,domain,source date,ClinVar LastEvaluated,new_or_updated_status,source_file,registry_note
PROSP_CLV_363,363,NF1,"Café-au-lait macules with pulmonary stenosis|Neurofibromatosis-Noonan syndrome|Neurofibromatosis, type 1|Hereditary cancer-predisposing syndrome|not provided|Juvenile myelomonocytic leukemia;Neurofibromatosis, familial spinal;Café-au-lait macules with pulmonary stenosis;Neurofibromatosis, type 1;Neurofibromatosis-Noonan syndrome|Gastric cancer|Juvenile myelomonocytic leukemia",Pathogenic/Likely pathogenic,"criteria provided, multiple submitters, no conflicts",26,"Café-au-lait macules with pulmonary stenosis|Neurofibromatosis-Noonan syndrome|Neurofibromatosis, type 1|Hereditary cancer-predisposing syndrome|not provided|Juvenile myelomonocytic leukemia;Neurofibromatosis, familial spinal;Café-au-lait macules with pulmonary stenosis;Neurofibromatosis, type 1;Neurofibromatosis-Noonan syndrome|Gastric cancer|Juvenile myelomonocytic leukemia",hereditary_cancer,2026-05-05,"Dec 20, 2025",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_364,364,NF1,"Neurofibromatosis-Noonan syndrome|Neurofibromatosis, type 1|Juvenile myelomonocytic leukemia|Cardiovascular phenotype;Hereditary cancer-predisposing syndrome|not provided|NF1-related disorder",Pathogenic/Likely pathogenic,"criteria provided, multiple submitters, no conflicts",11,"Neurofibromatosis-Noonan syndrome|Neurofibromatosis, type 1|Juvenile myelomonocytic leukemia|Cardiovascular phenotype;Hereditary cancer-predisposing syndrome|not provided|NF1-related disorder",hereditary_cancer,2026-05-05,"Jan 11, 2026",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_368,368,NF1,"Neurofibromatosis, type 1|Neurofibromatosis, familial spinal|not provided|Neurofibromatosis, familial spinal;Neurofibromatosis-Noonan syndrome;Café-au-lait macules with pulmonary stenosis;Juvenile myelomonocytic leukemia;Neurofibromatosis, type 1",Pathogenic/Likely pathogenic,"criteria provided, multiple submitters, no conflicts",5,"Neurofibromatosis, type 1|Neurofibromatosis, familial spinal|not provided|Neurofibromatosis, familial spinal;Neurofibromatosis-Noonan syndrome;Café-au-lait macules with pulmonary stenosis;Juvenile myelomonocytic leukemia;Neurofibromatosis, type 1",hereditary_cancer,2026-05-05,"Jun 06, 2023",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_369,369,NF1,"Neurofibromatosis, familial spinal|Cardiovascular phenotype;Hereditary cancer-predisposing syndrome",Likely pathogenic,"criteria provided, single submitter",2,"Neurofibromatosis, familial spinal|Cardiovascular phenotype;Hereditary cancer-predisposing syndrome",hereditary_cancer,2026-05-05,"Dec 16, 2024",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_373,373,NF1,"Neurofibromatosis, type 1|Cardiovascular phenotype;Hereditary cancer-predisposing syndrome",Pathogenic,"criteria provided, multiple submitters, no conflicts",5,"Neurofibromatosis, type 1|Cardiovascular phenotype;Hereditary cancer-predisposing syndrome",hereditary_cancer,2026-05-05,"Jun 29, 2025",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_540,540,TMEM70,"Mitochondrial complex V (ATP synthase) deficiency, nuclear type 2|not provided|See cases|Neurodevelopmental disorder|TMEM70-related disorder|Nonpapillary renal cell carcinoma|Papillary renal cell carcinoma type 1",Pathogenic/Likely pathogenic,"criteria provided, multiple submitters, no conflicts",24,"Mitochondrial complex V (ATP synthase) deficiency, nuclear type 2|not provided|See cases|Neurodevelopmental disorder|TMEM70-related disorder|Nonpapillary renal cell carcinoma|Papillary renal cell carcinoma type 1",hereditary_cancer,2026-05-05,"Jan 19, 2026",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_576,576,PAH,"Phenylketonuria|not provided|Inborn genetic diseases|PAH-related disorder|Pituitary hormone deficiency, combined, 2|Clear cell carcinoma of kidney|Malignant tumor of esophagus",Pathogenic,reviewed by expert panel,38,"Phenylketonuria|not provided|Inborn genetic diseases|PAH-related disorder|Pituitary hormone deficiency, combined, 2|Clear cell carcinoma of kidney|Malignant tumor of esophagus",hereditary_cancer,2026-05-05,"Aug 05, 2018",materially_updated_since_prior_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_798,798,APC,"Familial adenomatous polyposis 1|Gardner syndrome|Hereditary cancer-predisposing syndrome|not provided|Colorectal cancer, susceptibility to|Familial multiple polyposis syndrome|Neoplasm|Classic or attenuated familial adenomatous polyposis",Pathogenic/Likely pathogenic,"criteria provided, multiple submitters, no conflicts",18,"Familial adenomatous polyposis 1|Gardner syndrome|Hereditary cancer-predisposing syndrome|not provided|Colorectal cancer, susceptibility to|Familial multiple polyposis syndrome|Neoplasm|Classic or attenuated familial adenomatous polyposis",hereditary_cancer,2026-05-05,"Apr 08, 2025",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_807,807,APC,"Familial adenomatous polyposis 1|Hereditary cancer-predisposing syndrome|Colorectal cancer, susceptibility to|not provided|Desmoid disease, hereditary;Familial adenomatous polyposis 1;Neoplasm of stomach;Carcinoma of colon;Hepatocellular carcinoma|Familial multiple polyposis syndrome|Gastric cancer|Colon adenocarcinoma|Neoplasm",Pathogenic,"criteria provided, multiple submitters, no conflicts",16,"Familial adenomatous polyposis 1|Hereditary cancer-predisposing syndrome|Colorectal cancer, susceptibility to|not provided|Desmoid disease, hereditary;Familial adenomatous polyposis 1;Neoplasm of stomach;Carcinoma of colon;Hepatocellular carcinoma|Familial multiple polyposis syndrome|Gastric cancer|Colon adenocarcinoma|Neoplasm",hereditary_cancer,2026-05-05,"Nov 13, 2025",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_810,810,APC,"Familial adenomatous polyposis 1|Hereditary cancer-predisposing syndrome|not provided|Colorectal cancer, susceptibility to|Desmoid disease, hereditary;Familial adenomatous polyposis 1;Neoplasm of stomach;Carcinoma of colon;Hepatocellular carcinoma|Familial multiple polyposis syndrome|Neoplasm",Pathogenic,"criteria provided, multiple submitters, no conflicts",21,"Familial adenomatous polyposis 1|Hereditary cancer-predisposing syndrome|not provided|Colorectal cancer, susceptibility to|Desmoid disease, hereditary;Familial adenomatous polyposis 1;Neoplasm of stomach;Carcinoma of colon;Hepatocellular carcinoma|Familial multiple polyposis syndrome|Neoplasm",hereditary_cancer,2026-05-05,"Dec 29, 2025",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_816,816,APC,Gardner syndrome|ADENOMATOUS POLYPOSIS COLI WITH CONGENITAL CHOLESTEATOMA|Familial adenomatous polyposis 1|Hereditary cancer-predisposing syndrome|not provided|Carcinoma of colon|Gastric polyposis;Intestinal polyp;Hyperplastic colonic polyposis;Duodenal polyposis;Adenomatous colonic polyposis|Colon adenocarcinoma|Familial multiple polyposis syndrome|Colorectal cancer|Neoplasm|Classic or attenuated familial adenomatous polyposis|APC-related disorder|6 conditions,Pathogenic,reviewed by expert panel,46,Gardner syndrome|ADENOMATOUS POLYPOSIS COLI WITH CONGENITAL CHOLESTEATOMA|Familial adenomatous polyposis 1|Hereditary cancer-predisposing syndrome|not provided|Carcinoma of colon|Gastric polyposis;Intestinal polyp;Hyperplastic colonic polyposis;Duodenal polyposis;Adenomatous colonic polyposis|Colon adenocarcinoma|Familial multiple polyposis syndrome|Colorectal cancer|Neoplasm|Classic or attenuated familial adenomatous polyposis|APC-related disorder|6 conditions,hereditary_cancer,2026-05-05,"Feb 25, 2023",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_824,824,APC,Gardner syndrome|Familial adenomatous polyposis 1|Familial multiple polyposis syndrome|Hereditary cancer-predisposing syndrome|not provided|Carcinoma of colon|APC-Associated Polyposis Disorders|Neoplasm,Pathogenic,"criteria provided, multiple submitters, no conflicts",17,Gardner syndrome|Familial adenomatous polyposis 1|Familial multiple polyposis syndrome|Hereditary cancer-predisposing syndrome|not provided|Carcinoma of colon|APC-Associated Polyposis Disorders|Neoplasm,hereditary_cancer,2026-05-05,"Jan 07, 2026",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_946,946,GLB1,"GM1-gangliosidosis, type I, with cardiac involvement|Mucopolysaccharidosis, MPS-IV-B|Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis|not provided|Infantile GM1 gangliosidosis|GM1 gangliosidosis type 3;Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis type 2;Infantile GM1 gangliosidosis|GM1 gangliosidosis|Uveal melanoma",Pathogenic,"criteria provided, multiple submitters, no conflicts",9,"GM1-gangliosidosis, type I, with cardiac involvement|Mucopolysaccharidosis, MPS-IV-B|Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis|not provided|Infantile GM1 gangliosidosis|GM1 gangliosidosis type 3;Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis type 2;Infantile GM1 gangliosidosis|GM1 gangliosidosis|Uveal melanoma",hereditary_cancer,2026-05-05,"Sep 27, 2024",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_1264,1264,B3GLCT,"Peters plus syndrome|not provided|B3GLCT-related disorder|Inborn genetic diseases|Thyroid cancer, nonmedullary, 1|Lung cancer|Familial cancer of breast|Clear cell carcinoma of kidney",Pathogenic,"criteria provided, multiple submitters, no conflicts",31,"Peters plus syndrome|not provided|B3GLCT-related disorder|Inborn genetic diseases|Thyroid cancer, nonmedullary, 1|Lung cancer|Familial cancer of breast|Clear cell carcinoma of kidney",hereditary_cancer,2026-05-05,"Oct 23, 2025",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_1782,1782,CYP17A1,"17-alpha-hydroxylase/17,20-lyase deficiency, combined partial|Breast cancer, susceptibility to|Deficiency of steroid 17-alpha-monooxygenase|not provided",Pathogenic,"criteria provided, multiple submitters, no conflicts",6,"17-alpha-hydroxylase/17,20-lyase deficiency, combined partial|Breast cancer, susceptibility to|Deficiency of steroid 17-alpha-monooxygenase|not provided",hereditary_cancer,2026-05-05,"Sep 17, 2025",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_2120,2120,TSEN54,"Pontocerebellar hypoplasia type 2A|Olivopontocerebellar hypoplasia|Pontocerebellar hypoplasia type 4|Pontocerebellar hypoplasia type 5|not provided|Congenital cerebellar hypoplasia|Global developmental delay;Microcephaly|Pontocerebellar hypoplasia type 2A;Pontocerebellar hypoplasia type 4|Inborn genetic diseases|Global developmental delay;Amblyopia;Hypertonia|Intellectual disability|Pontoneocerebellar hypoplasia|Pontocerebellar hypoplasia type 5;Pontocerebellar hypoplasia type 2A;Pontocerebellar hypoplasia type 4|Pontocerebellar hypoplasia type 2;Pontocerebellar hypoplasia type 4|Methylmalonic aciduria and homocystinuria type cblD;Pontocerebellar hypoplasia type 5;Pontocerebellar hypoplasia type 4|TSEN54 Pontocerebellar Hypoplasia|TSEN54-related disorder|Cervical cancer|Melanoma|Huppke-Brendel syndrome|Uterine corpus endometrial carcinoma|Sarcoma|Thyroid cancer, nonmedullary, 1",Pathogenic,"criteria provided, multiple submitters, no conflicts",38,"Pontocerebellar hypoplasia type 2A|Olivopontocerebellar hypoplasia|Pontocerebellar hypoplasia type 4|Pontocerebellar hypoplasia type 5|not provided|Congenital cerebellar hypoplasia|Global developmental delay;Microcephaly|Pontocerebellar hypoplasia type 2A;Pontocerebellar hypoplasia type 4|Inborn genetic diseases|Global developmental delay;Amblyopia;Hypertonia|Intellectual disability|Pontoneocerebellar hypoplasia|Pontocerebellar hypoplasia type 5;Pontocerebellar hypoplasia type 2A;Pontocerebellar hypoplasia type 4|Pontocerebellar hypoplasia type 2;Pontocerebellar hypoplasia type 4|Methylmalonic aciduria and homocystinuria type cblD;Pontocerebellar hypoplasia type 5;Pontocerebellar hypoplasia type 4|TSEN54 Pontocerebellar Hypoplasia|TSEN54-related disorder|Cervical cancer|Melanoma|Huppke-Brendel syndrome|Uterine corpus endometrial carcinoma|Sarcoma|Thyroid cancer, nonmedullary, 1",hereditary_cancer,2026-05-05,"Feb 01, 2026",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_2165,2165,ANO5,Autosomal recessive limb-girdle muscular dystrophy type 2L|not provided|ANO5-related disorder|Gnathodiaphyseal dysplasia;Autosomal recessive limb-girdle muscular dystrophy type 2L|Gnathodiaphyseal dysplasia;Miyoshi muscular dystrophy 3;Autosomal recessive limb-girdle muscular dystrophy type 2L|Hereditary fructosuria|Autosomal recessive limb-girdle muscular dystrophy|Miyoshi muscular dystrophy 3|Ovarian serous cystadenocarcinoma|Acute rhabdomyolysis|Nonpapillary renal cell carcinoma,Likely pathogenic,reviewed by expert panel,31,Autosomal recessive limb-girdle muscular dystrophy type 2L|not provided|ANO5-related disorder|Gnathodiaphyseal dysplasia;Autosomal recessive limb-girdle muscular dystrophy type 2L|Gnathodiaphyseal dysplasia;Miyoshi muscular dystrophy 3;Autosomal recessive limb-girdle muscular dystrophy type 2L|Hereditary fructosuria|Autosomal recessive limb-girdle muscular dystrophy|Miyoshi muscular dystrophy 3|Ovarian serous cystadenocarcinoma|Acute rhabdomyolysis|Nonpapillary renal cell carcinoma,hereditary_cancer,2026-05-05,"Feb 24, 2026",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_2215,2215,VHL,Papillary renal cell carcinoma type 1|Von Hippel-Lindau syndrome|Chuvash polycythemia;Von Hippel-Lindau syndrome|not provided|Hereditary cancer-predisposing syndrome,Pathogenic,"criteria provided, multiple submitters, no conflicts",9,Papillary renal cell carcinoma type 1|Von Hippel-Lindau syndrome|Chuvash polycythemia;Von Hippel-Lindau syndrome|not provided|Hereditary cancer-predisposing syndrome,hereditary_cancer,2026-05-05,"Dec 29, 2025",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_2216,2216,VHL,Von Hippel-Lindau syndrome|Hereditary cancer-predisposing syndrome|not provided|Chuvash polycythemia;Von Hippel-Lindau syndrome|Pheochromocytoma|Chuvash polycythemia,Pathogenic,reviewed by expert panel,20,Von Hippel-Lindau syndrome|Hereditary cancer-predisposing syndrome|not provided|Chuvash polycythemia;Von Hippel-Lindau syndrome|Pheochromocytoma|Chuvash polycythemia,hereditary_cancer,2026-05-05,"Jun 25, 2024",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_2217,2217,VHL,Von Hippel-Lindau syndrome|not provided|Hereditary cancer-predisposing syndrome|Chuvash polycythemia;Von Hippel-Lindau syndrome|Familial infantile myasthenia|Hemangioblastoma,Pathogenic,"criteria provided, multiple submitters, no conflicts",13,Von Hippel-Lindau syndrome|not provided|Hereditary cancer-predisposing syndrome|Chuvash polycythemia;Von Hippel-Lindau syndrome|Familial infantile myasthenia|Hemangioblastoma,hereditary_cancer,2026-05-05,"Oct 22, 2025",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_2218,2218,VHL,Von Hippel-Lindau syndrome|Pheochromocytoma|Hereditary cancer-predisposing syndrome|not provided|Chuvash polycythemia;Von Hippel-Lindau syndrome|Chuvash polycythemia;Pheochromocytoma;Nonpapillary renal cell carcinoma;Von Hippel-Lindau syndrome|Chuvash polycythemia,Pathogenic/Likely pathogenic,"criteria provided, multiple submitters, no conflicts",21,Von Hippel-Lindau syndrome|Pheochromocytoma|Hereditary cancer-predisposing syndrome|not provided|Chuvash polycythemia;Von Hippel-Lindau syndrome|Chuvash polycythemia;Pheochromocytoma;Nonpapillary renal cell carcinoma;Von Hippel-Lindau syndrome|Chuvash polycythemia,hereditary_cancer,2026-05-05,"Nov 24, 2025",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_2219,2219,VHL,Von Hippel-Lindau syndrome|Chuvash polycythemia;Von Hippel-Lindau syndrome|Hereditary cancer-predisposing syndrome,Pathogenic,"criteria provided, multiple submitters, no conflicts",4,Von Hippel-Lindau syndrome|Chuvash polycythemia;Von Hippel-Lindau syndrome|Hereditary cancer-predisposing syndrome,hereditary_cancer,2026-05-05,"Jun 26, 2022",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_2222,2222,VHL,Von Hippel-Lindau syndrome|Chuvash polycythemia;Von Hippel-Lindau syndrome|VHL-related disorder|Hereditary cancer-predisposing syndrome,Pathogenic/Likely pathogenic,"criteria provided, multiple submitters, no conflicts",8,Von Hippel-Lindau syndrome|Chuvash polycythemia;Von Hippel-Lindau syndrome|VHL-related disorder|Hereditary cancer-predisposing syndrome,hereditary_cancer,2026-05-05,"Aug 27, 2025",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_2223,2223,VHL,Von Hippel-Lindau syndrome|Hereditary cancer-predisposing syndrome|not provided|Von Hippel-Lindau syndrome;Chuvash polycythemia|VHL-related disorder,Pathogenic,"criteria provided, multiple submitters, no conflicts",17,Von Hippel-Lindau syndrome|Hereditary cancer-predisposing syndrome|not provided|Von Hippel-Lindau syndrome;Chuvash polycythemia|VHL-related disorder,hereditary_cancer,2026-05-05,"Oct 07, 2025",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_2224,2224,VHL,Von Hippel-Lindau syndrome|Hereditary cancer-predisposing syndrome|Chuvash polycythemia;Von Hippel-Lindau syndrome|not provided,Pathogenic,"criteria provided, multiple submitters, no conflicts",4,Von Hippel-Lindau syndrome|Hereditary cancer-predisposing syndrome|Chuvash polycythemia;Von Hippel-Lindau syndrome|not provided,hereditary_cancer,2026-05-05,"Aug 16, 2024",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_2226,2226,VHL,Pheochromocytoma|Hereditary cancer-predisposing syndrome|Von Hippel-Lindau syndrome|not provided|Chuvash polycythemia;Von Hippel-Lindau syndrome,Pathogenic,reviewed by expert panel,8,Pheochromocytoma|Hereditary cancer-predisposing syndrome|Von Hippel-Lindau syndrome|not provided|Chuvash polycythemia;Von Hippel-Lindau syndrome,hereditary_cancer,2026-05-05,"Jun 25, 2024",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
PROSP_CLV_2228,2228,VHL,Von Hippel-Lindau syndrome|Chuvash polycythemia;Von Hippel-Lindau syndrome,Pathogenic,"criteria provided, multiple submitters, no conflicts",4,Von Hippel-Lindau syndrome|Chuvash polycythemia;Von Hippel-Lindau syndrome,hereditary_cancer,2026-05-05,"Oct 15, 2024",new_in_current_snapshot,ClinVar variant_summary.txt.gz,baseline_only_public_assertion_snapshot
